信用合作社別,總部分支機構別,金融代號,郵遞區號,所在縣市,行政區,住址,電話
"新竹第一信用合作社","平鎮分社","130-0174","324","68000","68000100","桃園市平鎮區興安路136號","(03)4393519"
"新竹第一信用合作社","楊梅分社","130-0183","326","68000","68000040","桃園市楊梅區新農街457號","(03)4882511"
"新竹第一信用合作社","八德分社","130-0192","334","68000","68000080","桃園市八德區東勇北路480號","(03)3751322"
"新竹第一信用合作社","中壢分社","130-0208","320","68000","68000020","桃園市中壢區中正路246號","(03)4251251"
